periodico_id,titulo_principal,titulo_abreviado,titulo_norm,issn_impresso,issn_eletronico,issn_l,issn_impresso_norm,issn_eletronico_norm,issn_l_norm,publisher_nome,publisher_norm,pais,area_tematica,plataforma_editorial,url_principal_atual,dominio_url_principal,fonte_url_principal,ativo_editorial_recente,ano_ultimo_registro_editorial,tem_doaj,tem_latindex,tem_titledb,observacao_match
PER_7AA87AA6EF051216,Conhecimento & Diversidade,,conhecimento & diversidade,1983-3695,2237-8049,,1983-3695,2237-8049,,Centro Universitário Lasalle Canoas-RS,centro universitario lasalle canoas-rs,Brasil,,OJS3,https://www.revistas.unilasalle.edu.br/,www.revistas.unilasalle.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=12; anos=2009-2020
PER_38221349E726C7F1,DESENVOLVE – REVISTA DE GESTÃO DO UNILASALLE,,desenvolve – revista de gestao do unilasalle,,2316-5537,,,2316-5537,,Centro Universitário Lasalle Canoas-RS,centro universitario lasalle canoas-rs,Brasil,,OJS3,https://www.revistas.unilasalle.edu.br/,www.revistas.unilasalle.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=9; anos=2012-2020
PER_FC2B445E0CC7872B,DIÁLOGO,,dialogo,1519-3640,2238-9024,,1519-3640,2238-9024,,Centro Universitário Lasalle Canoas-RS,centro universitario lasalle canoas-rs,Brasil,,OJS3,https://www.revistas.unilasalle.edu.br/,www.revistas.unilasalle.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=12; anos=2009-2020
PER_7CC5A2B2F2D387CF,"Educação, Ciência e Cultura",,"educacao, ciencia e cultura",1413-7321,2236-6377,,1413-7321,2236-6377,,Centro Universitário Lasalle Canoas-RS,centro universitario lasalle canoas-rs,Brasil,,OJS3,https://www.revistas.unilasalle.edu.br/,www.revistas.unilasalle.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=14; anos=2007-2020
PER_EE492EDCE79CA324,Interfaces Brasil/Canadá,,interfaces brasil/canada,1519-0994,1984-5677,,1519-0994,1984-5677,,Centro Universitário Lasalle Canoas-RS,centro universitario lasalle canoas-rs,Brasil,,OJS3,https://periodicos.ufpel.edu.br/,periodicos.ufpel.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=21; anos=2001-2021
PER_C20CDF6CF1536D23,Mouseion,,mouseion,,1981-7207,,,1981-7207,,Centro Universitário Lasalle Canoas-RS,centro universitario lasalle canoas-rs,Brasil,,OJS3,https://www.revistas.unilasalle.edu.br/,www.revistas.unilasalle.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=16; anos=2007-2022
PER_8D9BE513BE9AEED3,Revista de Ciências Ambientais,,revista de ciencias ambientais,,1981-8858,,,1981-8858,,Centro Universitário Lasalle Canoas-RS,centro universitario lasalle canoas-rs,Brasil,,OJS3,https://www.revistas.unilasalle.edu.br/,www.revistas.unilasalle.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=16; anos=2007-2022
PER_40719394B318830A,Saúde e Desenvolvimento Humano,,saude e desenvolvimento humano,,2317-8582,,,2317-8582,,Centro Universitário Lasalle Canoas-RS,centro universitario lasalle canoas-rs,Brasil,,OJS3,https://www.revistas.unilasalle.edu.br/,www.revistas.unilasalle.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=8; anos=2013-2020
PER_943EE584BE4438EA,Revista Ciências da Educação,,revista ciencias da educacao,1518-7039,2317-6091,,1518-7039,2317-6091,,Centro Universitário Salesiano de São Paulo (UNISAL),centro universitario salesiano de sao paulo (unisal),Brasil,,OJS3,https://www.revista.unisal.br/ojs/,www.revista.unisal.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=11; anos=2010-2020
PER_84D760E521CE994B,Revista UniAraguaia,,revista uniaraguaia,,2676-0436,,,2676-0436,,Centro Universitário UniAraguaia,centro universitario uniaraguaia,Brasil,,OJS3,https://www.fara.edu.br/sipe/,www.fara.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=11; anos=2011-2021
PER_5BEBCB4E86A01B5E,Revista Direitos Fundamentais & Democracia,,revista direitos fundamentais & democracia,,1982-0496,,,1982-0496,,Centro Universitário UniBrasil,centro universitario unibrasil,Brasil,,OJS3,https://revistaeletronicardfd.unibrasil.com.br/,revistaeletronicardfd.unibrasil.com.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=16; anos=2007-2022
PER_779A7618F68C292B,Revista de Direito da Faculdade Guanambi,,revista de direito da faculdade guanambi,,2447-6536,,,2447-6536,,Centro Universitário FG (UniFG),centro universitario fg (unifg),Brasil,,OJS3,https://portaldeperiodicos.animaeducacao.com.br/,portaldeperiodicos.animaeducacao.com.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=7; anos=2015-2021
