url_check_id,periodico_id,source_system,url_original,url_original_domain,check_date,http_status,redirect_count,final_url,final_domain,domain_changed,https_valid,timeout,ojs_detected,ojs_version_hint,is_accessible,problem_type,notes,created_at
URL_1D4B3C48FDB32A96,PER_8E39EB7FC8E8CAB5,periodicos,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,,200,0,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_5FE7418932F748E7,PER_90EC879EAE0DABE2,periodicos,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,,200,0,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_CAB7F28B2DFA997A,PER_7B658DCC4010066E,periodicos,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,,200,0,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_0293E95E513488EE,PER_3EE987A8B74D6A8E,periodicos,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,,200,0,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_BE73345BF42BB3D2,PER_0F108ACBD1576B9B,periodicos,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,,200,0,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_45F7F1619C796ADF,PER_EE0C312006E256C5,periodicos,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,,200,0,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_DA6FB47582BF9F08,PER_B9E135548482A116,periodicos,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,,200,0,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_DDBCB0B18E3275D7,PER_43E0EA910719D81B,periodicos,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,,200,0,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_563EEF08717A9BC2,PER_50049A5630242C81,periodicos,http://serv-bib.fcfar.unesp.br/seer/,serv-bib.fcfar.unesp.br,,,0,,,,,True,,,False,timeout,"HTTPConnectionPool(host='serv-bib.fcfar.unesp.br', port=80): Max retries exceeded with url: /seer/ (Caused by ConnectTimeoutError(<HTTPConnection(host='serv-bib.fcfar.unesp.br', port=80) at 0x106ce3970>, 'Connection to serv-bib.fcfar.unesp.br timed out. (connect timeout=20)'))",
URL_52C9367580408A1E,PER_E0283D8B13A3830C,periodicos,https://rcfba.fcfar.unesp.br/,rcfba.fcfar.unesp.br,,200,1,https://rcfba.fcfar.unesp.br/index.php/ojs,rcfba.fcfar.unesp.br,False,True,False,True,3.1.2,True,redirect,,
URL_72929794AB09E7F7,PER_CA492092B24DDADC,periodicos,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,,200,0,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_536B6CEF0C405EBA,PER_B92B039D3D2E6814,periodicos,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,,200,0,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_1EE4F279CD7E9442,PER_D00C270F2DA0B946,periodicos,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,,200,0,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_82A829DED8BBDAA6,PER_09BA302364358B42,periodicos,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,,200,0,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_8897ED535503C604,PER_FC4F9981F0681EA8,periodicos,https://www2.marilia.unesp.br/revistas/,www2.marilia.unesp.br,,,0,,,,,True,,,False,timeout,"HTTPSConnectionPool(host='www2.marilia.unesp.br', port=443): Max retries exceeded with url: /revistas/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='www2.marilia.unesp.br', port=443) at 0x106ce3940>, 'Connection to www2.marilia.unesp.br timed out. (connect timeout=20)'))",
